"id"	"name"
"CO_335:0000832"	"Leafhopper damage"
"CO_335:0000833"	"Macrophomina disease severity"
"CO_335:0000834"	"Pythium spp. disease severity"
"CO_335:0000835"	"Rhizoctonia disease severity"
"CO_335:0000836"	"Rust disease severity on leaves"
"CO_335:0000837"	"Southern blight disease severity"
"CO_335:0000838"	"Web blight disease severity"
"CO_335:0000839"	"White mold disease severity"
"CO_335:0000840"	"Basal root growth angle"
"CO_335:0000841"	"Emerging cotyledon color"
"CO_335:0000842"	"Flower color"
"CO_335:0000843"	"Flower standard color"
"CO_335:0000844"	"Flower wings color"
"CO_335:0000845"	"Hypocotyl pigmentation"
"CO_335:0000846"	"Mature pod color"
"CO_335:0000847"	"Plant basal root length"
"CO_335:0000848"	"Plant basal root number"
"CO_335:0000849"	"Plant basal root whorl number"
"CO_335:0000850"	"Plant growth habit"
"CO_335:0000851"	"Plant pod position"
"CO_335:0000852"	"Pod beak orientation"
"CO_335:0000853"	"Pod beak position"
"CO_335:0000854"	"Pod cross section"
"CO_335:0000855"	"Pod curvature"
"CO_335:0000856"	"Pod length"
"CO_335:0000857"	"Pod width"
"CO_335:0000858"	"Seed brilliance"
"CO_335:0000859"	"Seed color pattern"
"CO_335:0000860"	"Seed height"
"CO_335:0000861"	"Seed length"
"CO_335:0000862"	"Seed primary color"
"CO_335:0000863"	"Seed secondary color"
"CO_335:0000864"	"Seed shape"
"CO_335:0000865"	"Seed width"
"CO_335:0000866"	"Stem pigmentation"
"CO_335:0000868"	"Flowering date"
"CO_335:0000872"	"Physiological maturity date"
"CO_335:0000874"	"Plant days to flowering"
"CO_335:0000875"	"Plant days to physiological maturity"
"CO_335:0000876"	"Plant growth stage"
"CO_335:0000877"	"Canopy temperature"
"CO_335:0000878"	"Canopy temperature depression"
"CO_335:0000879"	"Crop agronomic water efficiency"
"CO_335:0000880"	"Crop evapotranspiration rate"
"CO_335:0000881"	"Leaf 15N natural abundance"
"CO_335:0000882"	"Leaf carbon isotope discrimination"
"CO_335:0000883"	"Leaf chlorophyll content"
"CO_335:0000884"	"Leaf loss"
"CO_335:0000885"	"Leaf persistence"
"CO_335:0000886"	"Leaf quantum yield of photosystem II"
"CO_335:0000887"	"Leaf relative water content"
"CO_335:0000888"	"Leaf stomatal conductance"
"CO_335:0000889"	"Leaf total non-structural carbohydrates content"
"CO_335:0000890"	"Plant effective nodules number"
"CO_335:0000891"	"Plant flowering photoperiod response"
"CO_335:0000892"	"Plant nodules number"
"CO_335:0000893"	"Plant nodules weight"
"CO_335:0000894"	"Plant wilting score"
"CO_335:0000895"	"Pod production efficiency"
"CO_335:0000896"	"Pod wall biomass proportion"
"CO_335:0000897"	"Seed 15N natural abundance"
"CO_335:0000898"	"Seed calcium content"
"CO_335:0000899"	"Seed carbon isotope discrimination"
"CO_335:0000900"	"Seed filling index"
"CO_335:0000901"	"Seed magnesium content"
"CO_335:0000902"	"Seed nitrogen content"
"CO_335:0000903"	"Seed potassium content"
"CO_335:0000904"	"Seed production efficiency"
"CO_335:0000905"	"Seed total non-structural carbohydrates content"
"CO_335:0000906"	"Seed yield production efficiency"
"CO_335:0000907"	"Shoot calcium content"
"CO_335:0000908"	"Shoot magnesium content"
"CO_335:0000909"	"Shoot nitrogen content"
"CO_335:0000910"	"Shoot phosphorus content"
"CO_335:0000911"	"Shoot potassium content"
"CO_335:0000912"	"Shoot total non-structural carbohydrates content"
"CO_335:0000913"	"Stem total non-structural carbohydrates content"
"CO_335:0000914"	"Seed cooking time"
"CO_335:0000915"	"Seed iron content"
"CO_335:0000916"	"Seed phosphorus content"
"CO_335:0000917"	"Seed protein content"
"CO_335:0000918"	"Seed total phytates content"
"CO_335:0000919"	"Seed zinc content"
